tourney_date,winner_id,winner_name,loser_id,loser_name,score,surface,winner_games,loser_games
20200106,104925,Novak Djokovic,104745,Rafael Nadal,6-2 7-6(4),Hard,13,8
20200106,105138,Roberto Bautista Agut,105583,Dusan Lajovic,7-5 6-1,Hard,13,6
20200106,104925,Novak Djokovic,106421,Daniil Medvedev,6-1 5-7 6-4,Hard,17,12
20200106,105583,Dusan Lajovic,111575,Karen Khachanov,7-5 7-6(1),Hard,14,11
20200106,104745,Rafael Nadal,200282,Alex De Minaur,4-6 7-5 6-1,Hard,17,12
20200106,105138,Roberto Bautista Agut,106401,Nick Kyrgios,6-1 6-4,Hard,12,5
20200106,104925,Novak Djokovic,133430,Denis Shapovalov,4-6 6-1 7-6(4),Hard,17,13
20200106,105583,Dusan Lajovic,200000,Felix Auger Aliassime,6-4 6-2,Hard,12,6
20200106,106421,Daniil Medvedev,106043,Diego Schwartzman,6-4 4-6 6-3,Hard,16,13
20200106,111575,Karen Khachanov,105550,Guido Pella,6-2 7-6(4),Hard,13,8
20200106,105554,Daniel Evans,200282,Alex De Minaur,7-6(4) 4-6 7-6(2),Hard,18,18
20200106,106401,Nick Kyrgios,111815,Cameron Norrie,6-2 6-2,Hard,12,4
20200106,105676,David Goffin,104745,Rafael Nadal,6-4 7-6(3),Hard,13,10
20200106,105138,Roberto Bautista Agut,106293,Kimmer Coppejans,6-1 6-4,Hard,12,5
20200106,104925,Novak Djokovic,104792,Gael Monfils,6-3 6-2,Hard,12,5
20200106,105332,Benoit Paire,105583,Dusan Lajovic,6-2 6-7(6) 6-4,Hard,18,13
20200106,104925,Novak Djokovic,104731,Kevin Anderson,7-6(5) 7-6(6),Hard,14,12
20200106,105583,Dusan Lajovic,144750,Lloyd Harris,3-6 7-6(4) 6-3,Hard,16,15
20200106,104925,Novak Djokovic,106426,Cristian Garin,6-3 6-3,Hard,12,6
20200106,105583,Dusan Lajovic,111797,Nicolas Jarry,6-2 7-6(3),Hard,13,8
20200106,104731,Kevin Anderson,105332,Benoit Paire,2-6 7-6(1) 7-6(5),Hard,16,18
20200106,104468,Gilles Simon,144750,Lloyd Harris,2-6 6-2 6-2,Hard,14,10
20200106,104792,Gael Monfils,106426,Cristian Garin,6-3 7-5,Hard,13,8
20200106,105332,Benoit Paire,111797,Nicolas Jarry,6-7(3) 6-3 6-3,Hard,18,13
20200106,104731,Kevin Anderson,106426,Cristian Garin,6-0 6-3,Hard,12,3
20200106,144750,Lloyd Harris,111797,Nicolas Jarry,6-4 6-4,Hard,12,8
20200106,104745,Rafael Nadal,106415,Yoshihito Nishioka,7-6(4) 6-4,Hard,13,10
20200106,105138,Roberto Bautista Agut,104424,Go Soeda,6-2 6-4,Hard,12,6
20200106,104745,Rafael Nadal,105932,Nikoloz Basilashvili,6-3 7-5,Hard,13,8
20200106,105138,Roberto Bautista Agut,106223,Aleksandre Metreveli,6-0 6-0,Hard,12,0
20200106,104745,Rafael Nadal,104655,Pablo Cuevas,6-2 6-1,Hard,12,3
20200106,105138,Roberto Bautista Agut,208364,Franco Roncadelli,6-1 6-2,Hard,12,3
20200106,106415,Yoshihito Nishioka,105932,Nikoloz Basilashvili,6-2 6-3,Hard,12,5
20200106,104424,Go Soeda,106223,Aleksandre Metreveli,4-6 6-3 6-2,Hard,16,11
20200106,106415,Yoshihito Nishioka,104655,Pablo Cuevas,6-0 6-1,Hard,12,1
20200106,104424,Go Soeda,105899,Martin Cuevas,6-1 6-3,Hard,12,4
